"inventory_origin","legacy_id","legacy_title","legacy_date","legacy_era","legacy_region","disposition","proposed_canonical_id","proposed_title","proposed_date","destination","rationale","overlap_or_prerequisite_notes","research_editorial_status"
"timeline-stub","jesus","Ministry of Jesus","c. 30 CE","classical","Judea","Merge","lesson.christianity.jesus-and-early-movement","Jesus and the Early Christian Movement","c. 20–200 CE","World Spine — chapter 04","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.christianity.jesus-and-early-movement; prerequisite(s): lesson.rome.mediterranean-empire.","Framing review; readiness: Planned."
"timeline-stub","jewish_wars","Jewish Wars Against Rome","66 CE","classical","Judea","Merge","lesson.christianity.jesus-and-early-movement","Jesus and the Early Christian Movement","c. 20–200 CE","World Spine — chapter 04","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.christianity.jesus-and-early-movement; prerequisite(s): lesson.rome.mediterranean-empire.","Framing review; readiness: Planned."
"timeline-stub","marathon","Battle of Marathon","490 BCE","classical","Greece","Merge","lesson.greece.polis-citizenship-exclusion","The Greek Polis: Citizenship and Exclusion","c. 800–338 BCE","World Spine — chapter 03","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.greece.polis-citizenship-exclusion; prerequisite(s): lesson.iron-age.technology-and-states.","Framing review; readiness: Planned."
"timeline-stub","mauryan_empire","Chandragupta Founds Mauryan Empire","c. 321 BCE","classical","India","Adapt or rename","lesson.india.maurya-and-ashoka","The Mauryan Empire and Ashoka","c. 321–185 BCE","World Spine — chapter 04","The topic earns core placement, with a learner-facing title, period, and scope adjusted to foreground causal and evidentiary value.","Mapped to lesson.india.maurya-and-ashoka; prerequisite(s): lesson.india.buddhist-jain-challenges.","Source brief required; readiness: Planned."
"timeline-stub","mayan_classic","Mayan Classic Period Peak","c. 250 CE","classical","Mesoamerica","Adapt or rename","lesson.mesoamerica.classic-maya","Classic Maya Cities and Knowledge","c. 250–800 CE","World Spine — chapter 04","The topic earns core placement, with a learner-facing title, period, and scope adjusted to foreground causal and evidentiary value.","Mapped to lesson.mesoamerica.classic-maya; prerequisite(s): lesson.mesoamerica.olmec-world.","Source brief required; readiness: Planned."
"timeline-stub","nicene_council","Council of Nicaea","325 CE","classical","Rome","Merge","lesson.christianity.imperial-church","Christianity and Imperial Power","c. 300–500 CE","World Spine — chapter 04","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.christianity.imperial-church; prerequisite(s): lesson.christianity.jesus-and-early-movement.","Framing review; readiness: Planned."
"timeline-stub","nineveh","Library of Ashurbanipal","c. 660 BCE","classical","Assyria","Adapt or rename","lesson.assyria.empire-and-deportation","Assyria: Empire, Administration, and Deportation","c. 900–609 BCE","World Spine — chapter 03","The topic earns core placement, with a learner-facing title, period, and scope adjusted to foreground causal and evidentiary value.","Mapped to lesson.assyria.empire-and-deportation; prerequisite(s): lesson.iron-age.technology-and-states.","Source brief required; readiness: Planned."
"timeline-stub","olympics","First Olympic Games in Greece","776 BCE","classical","Greece","Merge","lesson.greece.polis-citizenship-exclusion","The Greek Polis: Citizenship and Exclusion","c. 800–338 BCE","World Spine — chapter 03","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.greece.polis-citizenship-exclusion; prerequisite(s): lesson.iron-age.technology-and-states.","Framing review; readiness: Planned."
"timeline-stub","paper","Cai Lun Invents Paper","105 CE","classical","China","Reframe","lesson.knowledge.paper-numbers-and-administration","Paper, Numbers, and Durable Knowledge","c. 100–650 CE","World Spine — chapter 04","The topic is consequential, but the legacy title overstates a single event, inventor, cause, identity, or certainty; the canonical node teaches the broader evidence-based process.","Mapped to lesson.knowledge.paper-numbers-and-administration; prerequisite(s): lesson.writing.early-systems.","Framing review; readiness: Planned."
"timeline-stub","parthian_empire","Rise of the Parthian Empire","247 BCE","classical","Persia","Merge","lesson.iran-rome.frontier-empires","Sasanian Iran and the Roman East","224–628 CE","World Spine — chapter 04","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.iran-rome.frontier-empires; prerequisite(s): lesson.persia.achaemenid-empire.","Source brief required; readiness: Planned."
"timeline-stub","peloponnesian_war","Peloponnesian War Begins","431 BCE","classical","Greece","Merge","lesson.greece.polis-citizenship-exclusion","The Greek Polis: Citizenship and Exclusion","c. 800–338 BCE","World Spine — chapter 03","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.greece.polis-citizenship-exclusion; prerequisite(s): lesson.iron-age.technology-and-states.","Framing review; readiness: Planned."
"timeline-stub","pericles","Golden Age of Athens (Pericles)","c. 450 BCE","classical","Greece","Merge","lesson.greece.polis-citizenship-exclusion","The Greek Polis: Citizenship and Exclusion","c. 800–338 BCE","World Spine — chapter 03","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.greece.polis-citizenship-exclusion; prerequisite(s): lesson.iron-age.technology-and-states.","Framing review; readiness: Planned."
"timeline-stub","plato_academy","Plato Founds the Academy","c. 387 BCE","classical","Greece","Merge","lesson.greece.socrates-plato-and-good-life","Socrates and Plato: How Should We Live?","c. 470–347 BCE","World Spine — chapter 03","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.greece.socrates-plato-and-good-life; prerequisite(s): lesson.greece.epic-law-and-public-argument|lesson.greece.polis-citizenship-exclusion.","Source set identified; readiness: Planned."
"timeline-stub","pompeii","Destruction of Pompeii","79 CE","classical","Italy","Merge","lesson.rome.mediterranean-empire","Rome's Mediterranean Empire","27 BCE–235 CE","World Spine — chapter 04","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.rome.mediterranean-empire; prerequisite(s): lesson.rome.republic-and-expansion.","Source brief required; readiness: Planned."
"timeline-stub","qin_shi_huang","Qin Shi Huang Unifies China","221 BCE","classical","China","Merge","lesson.china.qin-unification","Qin Unification and Its Costs","221–206 BCE","World Spine — chapter 04","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.china.qin-unification; prerequisite(s): lesson.china.confucian-daoist-legalist-debates.","Source brief required; readiness: Planned."
"timeline-stub","roman_engineering","Roman Engineering & Concrete","c. 100 CE","classical","Rome","Merge","lesson.rome.mediterranean-empire","Rome's Mediterranean Empire","27 BCE–235 CE","World Spine — chapter 04","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.rome.mediterranean-empire; prerequisite(s): lesson.rome.republic-and-expansion.","Source brief required; readiness: Planned."
"timeline-stub","roman_republic","Roman Republic Established","509 BCE","classical","Rome","Merge","lesson.rome.republic-and-expansion","The Roman Republic and Mediterranean Expansion","509–44 BCE","World Spine — chapter 03","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.rome.republic-and-expansion; prerequisite(s): lesson.greece.polis-citizenship-exclusion.","Source brief required; readiness: Planned."
"timeline-stub","rome_founded","Founding of Rome","c. 753 BCE","classical","Italy","Merge","lesson.greece.polis-citizenship-exclusion","The Greek Polis: Citizenship and Exclusion","c. 800–338 BCE","World Spine — chapter 03","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.greece.polis-citizenship-exclusion; prerequisite(s): lesson.iron-age.technology-and-states.","Framing review; readiness: Planned."
"timeline-stub","sassanian_empire","Sassanian Empire Founded","224 CE","classical","Persia","Merge","lesson.iran-rome.frontier-empires","Sasanian Iran and the Roman East","224–628 CE","World Spine — chapter 04","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.iran-rome.frontier-empires; prerequisite(s): lesson.persia.achaemenid-empire.","Source brief required; readiness: Planned."
"timeline-stub","silk_road","Han Dynasty Opens Silk Road","c. 130 BCE","classical","China/Central Asia","Adapt or rename","lesson.china.han-state-and-silk-roads","The Han State and Early Silk Roads","206 BCE–220 CE","World Spine — chapter 04","The topic earns core placement, with a learner-facing title, period, and scope adjusted to foreground causal and evidentiary value.","Mapped to lesson.china.han-state-and-silk-roads; prerequisite(s): lesson.china.qin-unification.","Source set identified; readiness: Planned."
"timeline-stub","socrates","Trial of Socrates","399 BCE","classical","Greece","Merge","lesson.greece.socrates-plato-and-good-life","Socrates and Plato: How Should We Live?","c. 470–347 BCE","World Spine — chapter 03","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.greece.socrates-plato-and-good-life; prerequisite(s): lesson.greece.epic-law-and-public-argument|lesson.greece.polis-citizenship-exclusion.","Source set identified; readiness: Planned."
"timeline-stub","teotihuacan","Teotihuacan City Flourishes","c. 250 CE","classical","Mesoamerica","Adapt or rename","lesson.mesoamerica.teotihuacan-metropolis","Teotihuacan: A Mesoamerican Metropolis","c. 1–550 CE","World Spine — chapter 04","The topic earns core placement, with a learner-facing title, period, and scope adjusted to foreground causal and evidentiary value.","Mapped to lesson.mesoamerica.teotihuacan-metropolis; prerequisite(s): lesson.mesoamerica.olmec-world.","Source brief required; readiness: Planned."
"timeline-stub","terracotta","Terracotta Army Buried","210 BCE","classical","China","Merge","lesson.china.qin-unification","Qin Unification and Its Costs","221–206 BCE","World Spine — chapter 04","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.china.qin-unification; prerequisite(s): lesson.china.confucian-daoist-legalist-debates.","Source brief required; readiness: Planned."
"timeline-stub","alfred","Alfred the Great Defends Wessex","878 CE","early_medieval","England","Move to another Journey type","None","None","None","Story Arc — War, states, and strategy","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","an_lushan","An Lushan Rebellion","755 CE","early_medieval","China","Merge","lesson.china.tang-cosmopolitan-empire","Tang China and a Cosmopolitan Empire","618–907 CE","World Spine — chapter 05","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.china.tang-cosmopolitan-empire; prerequisite(s): lesson.china.han-state-and-silk-roads|lesson.china.han-confucian-imperial-synthesis.","Source brief required; readiness: Planned."
"timeline-stub","arthur","Legends of King Arthur","c. 500 CE","early_medieval","Britain","Move to another Journey type","None","None","None","Idea Trail — Ideas, expression, and interpretation","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","battle_talas","Battle of Talas","751 CE","early_medieval","Central Asia","Adapt or rename","lesson.indian-ocean.monsoon-network","The Monsoon Indian Ocean","c. 600–1000 CE","World Spine — chapter 05","The topic earns core placement, with a learner-facing title, period, and scope adjusted to foreground causal and evidentiary value.","Mapped to lesson.indian-ocean.monsoon-network; prerequisite(s): lesson.africa.aksum-red-sea.","Source brief required; readiness: Planned."
"timeline-stub","carolingian_renaissance","Carolingian Renaissance","c. 800 CE","early_medieval","Europe","Merge","lesson.europe.lords-churches-and-towns","Lords, Churches, and Growing Towns","c. 1000–1250 CE","World Spine — chapter 06","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.europe.lords-churches-and-towns; prerequisite(s): None.","Framing review; readiness: Planned."
"timeline-stub","charlemagne","Charlemagne Crowned Emperor","800 CE","early_medieval","Europe","Merge","lesson.europe.lords-churches-and-towns","Lords, Churches, and Growing Towns","c. 1000–1250 CE","World Spine — chapter 06","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.europe.lords-churches-and-towns; prerequisite(s): None.","Framing review; readiness: Planned."
"timeline-stub","clovis","Clovis Unites the Franks","509 CE","early_medieval","France","Move to another Journey type","None","None","None","Story Arc — States, power, and rights","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","erik_red","Erik the Red Settles Greenland","985 CE","early_medieval","North Atlantic","Merge","lesson.north-atlantic.viking-mobility","Viking-Age Mobility and Exchange","c. 750–1100 CE","World Spine — chapter 05","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.north-atlantic.viking-mobility; prerequisite(s): None.","Framing review; readiness: Planned."
"timeline-stub","feudalism_system","Feudalism Emerges in Europe","c. 900 CE","early_medieval","Europe","Reframe","lesson.europe.lords-churches-and-towns","Lords, Churches, and Growing Towns","c. 1000–1250 CE","World Spine — chapter 06","The topic is consequential, but the legacy title overstates a single event, inventor, cause, identity, or certainty; the canonical node teaches the broader evidence-based process.","Mapped to lesson.europe.lords-churches-and-towns; prerequisite(s): None.","Framing review; readiness: Planned."
"timeline-stub","ghana","Ghana Empire (Gold & Salt)","c. 900 CE","early_medieval","West Africa","Adapt or rename","lesson.west-africa.ghana-and-sahara","Ghana and Trans-Saharan Exchange","c. 700–1100 CE","World Spine — chapter 05","The topic earns core placement, with a learner-facing title, period, and scope adjusted to foreground causal and evidentiary value.","Mapped to lesson.west-africa.ghana-and-sahara; prerequisite(s): lesson.farming.multiple-origins.","Source set identified; readiness: Planned."
"timeline-stub","gunpowder","Invention of Gunpowder","c. 850 CE","early_medieval","China","Merge","lesson.china.song-commercial-revolution","Song China's Commercial Revolution","960–1279 CE","World Spine — chapter 06","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.china.song-commercial-revolution; prerequisite(s): lesson.china.tang-cosmopolitan-empire.","Source brief required; readiness: Planned."
"timeline-stub","house_wisdom","House of Wisdom Founded","c. 750 CE","early_medieval","Baghdad","Adapt or rename","lesson.baghdad.abbasid-knowledge-networks","Baghdad and Abbasid Knowledge Networks","c. 750–1000 CE","World Spine — chapter 05","The topic earns core placement, with a learner-facing title, period, and scope adjusted to foreground causal and evidentiary value.","Mapped to lesson.baghdad.abbasid-knowledge-networks; prerequisite(s): lesson.caliphates.expansion-and-governance.","Framing review; readiness: Planned."
"timeline-stub","iconoclasm","Byzantine Iconoclasm Crisis","726 CE","early_medieval","Byzantium","Move to another Journey type","None","None","None","Idea Trail — Belief, ritual, and interpretation","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","islam_origins","Muhammad & Origins of Islam","610 CE","early_medieval","Arabia","Adapt or rename","lesson.islam.origins-and-community","The Origins of Islam","c. 570–632 CE","World Spine — chapter 05","The topic earns core placement, with a learner-facing title, period, and scope adjusted to foreground causal and evidentiary value.","Mapped to lesson.islam.origins-and-community; prerequisite(s): lesson.iran-rome.frontier-empires.","Framing review; readiness: Planned."
"timeline-stub","justinian","Justinian Code & Hagia Sophia","537 CE","early_medieval","Byzantium","Adapt or rename","lesson.byzantium.justinian-law-and-empire","Justinian's Byzantium: Law, Building, and War","527–565 CE","World Spine — chapter 05","The topic earns core placement, with a learner-facing title, period, and scope adjusted to foreground causal and evidentiary value.","Mapped to lesson.byzantium.justinian-law-and-empire; prerequisite(s): lesson.rome.crisis-and-reconfiguration.","Source brief required; readiness: Planned."
"timeline-stub","khmer","Jayavarman II Founds Khmer Empire","802 CE","early_medieval","Cambodia","Adapt or rename","lesson.southeast-asia.khmer-water-and-power","Khmer States, Water, and Angkor","c. 800–1300 CE","World Spine — chapter 05","The topic earns core placement, with a learner-facing title, period, and scope adjusted to foreground causal and evidentiary value.","Mapped to lesson.southeast-asia.khmer-water-and-power; prerequisite(s): lesson.indian-ocean.monsoon-network.","Source brief required; readiness: Planned."
"timeline-stub","lindisfarne","Vikings Raid Lindisfarne","793 CE","early_medieval","England","Merge","lesson.north-atlantic.viking-mobility","Viking-Age Mobility and Exchange","c. 750–1100 CE","World Spine — chapter 05","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.north-atlantic.viking-mobility; prerequisite(s): None.","Framing review; readiness: Planned."
"timeline-stub","maya_collapse","Classic Maya Cities Decline","c. 900 CE","early_medieval","Mesoamerica","Move to another Journey type","None","None","None","Idea Trail — Evidence, invention, and environment","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","nara_period","Nara Period & Tōdai-ji Temple","710 CE","early_medieval","Japan","Adapt or rename","lesson.japan.buddhism-and-court-state","Buddhism and the Japanese Court State","c. 600–900 CE","World Spine — chapter 05","The topic earns core placement, with a learner-facing title, period, and scope adjusted to foreground causal and evidentiary value.","Mapped to lesson.japan.buddhism-and-court-state; prerequisite(s): lesson.china.han-state-and-silk-roads.","Source brief required; readiness: Planned."
"timeline-stub","plague_justinian","Plague of Justinian","541 CE","early_medieval","Europe/Asia","Adapt or rename","lesson.disease.first-plague-pandemic","The First Plague Pandemic","541–c. 750 CE","World Spine — chapter 05","The topic earns core placement, with a learner-facing title, period, and scope adjusted to foreground causal and evidentiary value.","Mapped to lesson.disease.first-plague-pandemic; prerequisite(s): lesson.byzantium.justinian-law-and-empire.","Framing review; readiness: Research required."
"timeline-stub","polynesian_settlement","Polynesians Reach New Zealand","c. 900 CE","early_medieval","Pacific","Replace","lesson.pacific.polynesian-voyaging","Polynesian Voyaging and Settlement","c. 800–1300 CE","World Spine — chapter 05","The legacy chronology is materially wrong; replace it with the evidence-based long-range Pacific voyaging node and corrected settlement dates.","Mapped to lesson.pacific.polynesian-voyaging; prerequisite(s): None.","Framing review; readiness: Research required."
"timeline-stub","sui_canal","Grand Canal of China Built","605 CE","early_medieval","China","Move to another Journey type","None","None","None","Idea Trail — Evidence, invention, and environment","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","tang_dynasty","Tang Dynasty Golden Age","618 CE","early_medieval","China","Merge","lesson.china.tang-cosmopolitan-empire","Tang China and a Cosmopolitan Empire","618–907 CE","World Spine — chapter 05","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.china.tang-cosmopolitan-empire; prerequisite(s): lesson.china.han-state-and-silk-roads|lesson.china.han-confucian-imperial-synthesis.","Source brief required; readiness: Planned."
"timeline-stub","tours","Battle of Tours","732 CE","early_medieval","France","Merge","lesson.caliphates.expansion-and-governance","Caliphates: Expansion, Rule, and Diversity","632–750 CE","World Spine — chapter 05","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.caliphates.expansion-and-governance; prerequisite(s): lesson.islam.origins-and-community.","Source brief required; readiness: Planned."
"timeline-stub","umayyad_caliphate","Umayyad Caliphate Expands","661 CE","early_medieval","Middle East","Merge","lesson.caliphates.expansion-and-governance","Caliphates: Expansion, Rule, and Diversity","632–750 CE","World Spine — chapter 05","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.caliphates.expansion-and-governance; prerequisite(s): lesson.islam.origins-and-community.","Source brief required; readiness: Planned."
"timeline-stub","viking_trade","Viking Trade Networks","c. 850 CE","early_medieval","Northern Europe","Merge","lesson.north-atlantic.viking-mobility","Viking-Age Mobility and Exchange","c. 750–1100 CE","World Spine — chapter 05","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.north-atlantic.viking-mobility; prerequisite(s): None.","Framing review; readiness: Planned."
"timeline-stub","wu_zetian","Empress Wu Zetian","690 CE","early_medieval","China","Merge","lesson.china.tang-cosmopolitan-empire","Tang China and a Cosmopolitan Empire","618–907 CE","World Spine — chapter 05","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.china.tang-cosmopolitan-empire; prerequisite(s): lesson.china.han-state-and-silk-roads|lesson.china.han-confucian-imperial-synthesis.","Source brief required; readiness: Planned."
"timeline-stub","agricultural_revolution_medieval","Medieval Agricultural Revolution","c. 1000 CE","high_medieval","Europe","Merge","lesson.europe.lords-churches-and-towns","Lords, Churches, and Growing Towns","c. 1000–1250 CE","World Spine — chapter 06","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.europe.lords-churches-and-towns; prerequisite(s): None.","Framing review; readiness: Planned."
"timeline-stub","angkor_wat","Construction of Angkor Wat","c. 1113 CE","high_medieval","Cambodia","Move to another Journey type","None","None","None","Idea Trail — Ideas, expression, and interpretation","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","aquinas","Thomas Aquinas: Summa Theologica","1274 CE","high_medieval","Italy","Merge","lesson.medieval.faith-reason-and-schools","Faith, Reason, and the Medieval Schools","c. 1088–1300 CE","World Spine — chapter 06","The legacy node contributes important evidence, but its causal value is clearer inside the cross-tradition faith, reason, translation, and school-institution sequence.","Mapped to lesson.medieval.faith-reason-and-schools; prerequisite(s): lesson.islam.reason-revelation-and-law|lesson.judaism.rabbinic-argument-and-diaspora|lesson.europe.lords-churches-and-towns.","Source set identified; readiness: Planned."
"timeline-stub","aztec_empire","Aztec Triple Alliance Forms","1428 CE","high_medieval","Mexico","Move to another Journey type","None","None","None","Story Arc — War, states, and strategy","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","baghdad_sack","Mongol Siege of Baghdad","1258 CE","high_medieval","Iraq","Move to another Journey type","None","None","None","Story Arc — War, states, and strategy","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","black_death","The Black Death Peaked","1347 CE","high_medieval","Europe/Asia","Move to another Journey type","None","None","None","Idea Trail — Evidence, invention, and environment","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","black_death_aftermath","After the Plague: Social Revolution","c. 1360 CE","high_medieval","Europe","Move to another Journey type","None","None","None","Story Arc — States, power, and rights","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","chucer","Chaucer: Canterbury Tales","c. 1387 CE","high_medieval","England","Move to another Journey type","None","None","None","Idea Trail — Ideas, expression, and interpretation","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","crusades","The First Crusade","1096 CE","high_medieval","Middle East","Move to another Journey type","None","None","None","Idea Trail — Belief, ritual, and interpretation","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","delhi_sultanate","Delhi Sultanate Founded","1206 CE","high_medieval","India","Move to another Journey type","None","None","None","Idea Trail — Belief, ritual, and interpretation","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","forbidden_city","Forbidden City Completed","1420 CE","high_medieval","China","Move to another Journey type","None","None","None","Idea Trail — Ideas, expression, and interpretation","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","genghis","Genghis Khan Unites Mongols","1206 CE","high_medieval","Mongolia","Move to another Journey type","None","None","None","Story Arc — War, states, and strategy","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","gothic_engineering","Gothic Cathedrals & Engineering","c. 1150 CE","high_medieval","Europe","Move to another Journey type","None","None","None","Idea Trail — Ideas, expression, and interpretation","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","great_zimbabwe","Great Zimbabwe Flourishes","c. 1300 CE","high_medieval","Southern Africa","Move to another Journey type","None","None","None","Idea Trail — Ideas, expression, and interpretation","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","hanseatic_league","Hanseatic League Forms","c. 1200 CE","high_medieval","Northern Europe","Move to another Journey type","None","None","None","Story Arc — States, power, and rights","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","hastings","Battle of Hastings","1066 CE","high_medieval","England","Move to another Journey type","None","None","None","Story Arc — War, states, and strategy","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","hildegard","Hildegard of Bingen","c. 1150 CE","high_medieval","Germany","Move to another Journey type","None","None","None","Idea Trail — Belief, ritual, and interpretation","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","hundred_years","Hundred Years' War Begins","1337 CE","high_medieval","France/England","Move to another Journey type","None","None","None","Story Arc — War, states, and strategy","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","inca_pachacuti","Pachacuti Expands Inca Empire","1438 CE","high_medieval","Peru","Move to another Journey type","None","None","None","Story Arc — War, states, and strategy","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","joan_arc","Joan of Arc Executed","1431 CE","high_medieval","France","Move to another Journey type","None","None","None","Idea Trail — Belief, ritual, and interpretation","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
