"order","canonical_id","learner_title","start_year","end_year","date_display","chapter","scope","inclusion_rationale","prerequisites","predecessor","successor","legacy_aliases","research_status","readiness"
"72","lesson.persianate.poetry-philosophy-and-statecraft","Persianate Philosophy, Poetry, and Statecraft","900","1300","c. 900–1300 CE","06","Persian as a language of philosophy, ethics, poetry, administration, and Sufi reflection across Iran, Central Asia, and parts of South Asia.","Shows how inherited Iranian, Islamic, and Greek ideas were recombined and transmitted through institutions and literary forms across a wide cultural zone.","lesson.islam.reason-revelation-and-law|lesson.baghdad.abbasid-knowledge-networks","lesson.pacific.polynesian-voyaging","lesson.north-america.mississippian-cities","None","Framing review","Research required"
"73","lesson.north-america.mississippian-cities","Mississippian Cities and Cahokia","900","1350","c. 900–1350 CE","06","Maize agriculture, mound centers, regional exchange, and Cahokia's urban scale.","Adds a consequential North American city tradition often absent from broad surveys.","lesson.farming.multiple-origins","lesson.persianate.poetry-philosophy-and-statecraft","lesson.china.song-commercial-revolution","None","Source brief required","Planned"
"74","lesson.china.song-commercial-revolution","Song China's Commercial Revolution","960","1279","960–1279 CE","06","Cities, markets, paper money, printing, state capacity, and technological change.","Shows large-scale economic transformation before modern industrialization.","lesson.china.tang-cosmopolitan-empire","lesson.north-america.mississippian-cities","lesson.china.song-neo-confucian-renewal","gunpowder|song_dynasty","Source brief required","Planned"
"75","lesson.china.song-neo-confucian-renewal","Song Neo-Confucian Renewal","1000","1300","c. 1000–1300 CE","06","Confucian thinkers responding to Buddhist and Daoist challenges, constructing new moral metaphysics, and linking Zhu Xi’s synthesis to education and examinations.","Explains a philosophical reinvention that shaped institutions and intellectual life in China, Korea, Japan, and Vietnam for centuries.","lesson.china.song-commercial-revolution|lesson.china.tang-cosmopolitan-empire","lesson.china.song-commercial-revolution","lesson.europe.lords-churches-and-towns","None","Source set identified","Planned"
"76","lesson.europe.lords-churches-and-towns","Lords, Churches, and Growing Towns","1000","1250","c. 1000–1250 CE","06","Landholding, peasant labor, church institutions, agriculture, and urban revival.","Supplies context for crusading, universities, and later European state growth.","None","lesson.china.song-neo-confucian-renewal","lesson.east-africa.swahili-coast","carolingian_renaissance|charlemagne|feudalism_system|agricultural_revolution_medieval","Framing review","Planned"
"77","lesson.east-africa.swahili-coast","The Swahili Coast and Indian Ocean Cities","1000","1500","c. 1000–1500 CE","06","African urban communities, Swahili language, Islam, trade, and material evidence.","Demonstrates African agency in an interconnected oceanic world.","lesson.indian-ocean.monsoon-network","lesson.europe.lords-churches-and-towns","lesson.medieval.faith-reason-and-schools","None","Source set identified","Planned"
"78","lesson.medieval.faith-reason-and-schools","Faith, Reason, and the Medieval Schools","1088","1300","c. 1088–1300 CE","06","Translation, Jewish and Christian philosophical argument, Latin universities, scholastic disputation, and debates associated with Maimonides, Averroes, and Aquinas.","Makes cross-language transmission and institutionalized disagreement the causal bridge from Greek and Islamicate philosophy to later European intellectual change.","lesson.islam.reason-revelation-and-law|lesson.judaism.rabbinic-argument-and-diaspora|lesson.europe.lords-churches-and-towns","lesson.east-africa.swahili-coast","lesson.mediterranean.crusades-and-contact","university|aquinas","Source set identified","Planned"
"79","lesson.mediterranean.crusades-and-contact","The Crusades and Mediterranean Contact","1095","1291","1095–1291 CE","06","Religious war, conquest, trade, coexistence, and memory across the Mediterranean.","Explains consequential conflict while resisting a two-sided civilizational script.","lesson.caliphates.expansion-and-governance","lesson.medieval.faith-reason-and-schools","lesson.southern-africa.great-zimbabwe","schism","Framing review","Planned"
"80","lesson.southern-africa.great-zimbabwe","Great Zimbabwe and Southern African Exchange","1100","1450","c. 1100–1450 CE","06","Stone architecture, cattle, gold, political authority, and Indian Ocean connections.","Offers strong evidence for African state formation and corrects colonial myths.","lesson.east-africa.swahili-coast","lesson.mediterranean.crusades-and-contact","lesson.japan.warrior-rule","None","Source brief required","Planned"
"81","lesson.japan.warrior-rule","Warrior Rule in Medieval Japan","1185","1333","1185–1333 CE","06","Court authority, shogunate institutions, landholding, warriors, and Buddhist change.","Explains a durable political order without turning samurai into spectacle.","lesson.japan.buddhism-and-court-state","lesson.southern-africa.great-zimbabwe","lesson.india.delhi-sultanate","None","Source brief required","Planned"
"82","lesson.india.delhi-sultanate","The Delhi Sultanate","1206","1526","1206–1526 CE","06","Military migration, state building, cities, religious diversity, and regional resistance.","Provides an essential bridge between earlier South Asia and the Mughal Empire.","lesson.indian-ocean.monsoon-network","lesson.japan.warrior-rule","lesson.mongols.conquest-and-exchange","None","Source brief required","Planned"
"83","lesson.mongols.conquest-and-exchange","The Mongol Empire: Conquest and Exchange","1206","1368","1206–1368 CE","06","Military expansion, destruction, administration, mobility, and intensified Eurasian exchange.","Has exceptional causal leverage for states, trade, disease routes, and later memory.","lesson.china.song-commercial-revolution","lesson.india.delhi-sultanate","lesson.west-africa.mali-and-mansa-musa","None","Source set identified","Planned"
"84","lesson.west-africa.mali-and-mansa-musa","Mali, Mansa Musa, and a Scholarly Sahel","1230","1500","c. 1230–1500 CE","06","Imperial authority, gold, pilgrimage, Timbuktu, and trans-Saharan scholarship.","Explains West African power in regional and interregional terms.","lesson.west-africa.ghana-and-sahara","lesson.mongols.conquest-and-exchange","lesson.ottomans.frontier-to-empire","mali_empire","Source set identified","Planned"
"85","lesson.ottomans.frontier-to-empire","The Ottoman Rise","1299","1453","c. 1299–1453 CE","06","Frontier politics, military institutions, conquest, and the capture of Constantinople.","Creates the prerequisite for a major early modern empire and Mediterranean transformation.","lesson.iran-rome.frontier-empires","lesson.west-africa.mali-and-mansa-musa","lesson.mesoamerica.tenochtitlan-and-tribute","None","Source brief required","Planned"
"86","lesson.mesoamerica.tenochtitlan-and-tribute","Tenochtitlan and the Mexica Tribute Empire","1325","1521","1325–1521 CE","06","An island capital, intensive agriculture, alliances, tribute, religion, and warfare.","Provides necessary context for conquest and reveals a major urban-political system.","lesson.mesoamerica.classic-maya","lesson.ottomans.frontier-to-empire","lesson.disease.black-death","None","Source brief required","Planned"
"87","lesson.disease.black-death","The Black Death Across Connected Worlds","1330","1353","c. 1330–1353 CE","06","Plague ecology, routes, mortality, social disruption, and contested origins.","Makes network consequences visible and supports careful causal reasoning about disease.","lesson.mongols.conquest-and-exchange","lesson.mesoamerica.tenochtitlan-and-tribute","lesson.china.ming-reconstruction-and-voyages","None","Source set identified","Planned"
"88","lesson.china.ming-reconstruction-and-voyages","Ming Reconstruction and Zheng He's Voyages","1368","1433","1368–1433 CE","06","Post-Mongol state rebuilding, maritime expeditions, diplomacy, and Indian Ocean power.","Connects East Asian state choices to existing ocean networks before European expansion.","lesson.mongols.conquest-and-exchange","lesson.disease.black-death","lesson.andes.inca-road-empire","None","Source brief required","Planned"
"89","lesson.andes.inca-road-empire","The Inca Road Empire","1400","1533","c. 1400–1533 CE","06","Roads, labor taxation, storehouses, environmental diversity, and imperial rule.","Explains high-capacity governance without alphabetic writing or wheeled transport.","lesson.caral.andean-urbanism","lesson.china.ming-reconstruction-and-voyages","lesson.europe.renaissance-and-humanism","None","Source brief required","Planned"
"90","lesson.europe.renaissance-and-humanism","Renaissance Humanism and Patronage","1350","1550","c. 1350–1550 CE","07","Classical recovery, art, learning, urban patronage, and links to Mediterranean knowledge.","Retains a memorable cultural transformation without calling it Europe's rebirth from darkness.","lesson.medieval.faith-reason-and-schools|lesson.persianate.poetry-philosophy-and-statecraft","lesson.andes.inca-road-empire","lesson.oceans.african-and-asian-route-building","None","Framing review","Planned"
"91","lesson.oceans.african-and-asian-route-building","Portuguese Route Building in African and Asian Seas","1415","1600","c. 1415–1600 CE","07","Navigation, fortified trading posts, commerce, coercion, and existing ocean networks.","Frames European expansion as entry into—and violent alteration of—older connected systems.","lesson.indian-ocean.monsoon-network","lesson.europe.renaissance-and-humanism","lesson.printing.print-revolution","None","Source brief required","Planned"
"92","lesson.printing.print-revolution","Printing and a New Information Scale","1450","1600","c. 1450–1600 CE","07","Movable-type printing in Europe within a longer East Asian history of print.","Explains falling reproduction costs and later religious, scientific, and political change.","lesson.knowledge.paper-numbers-and-administration","lesson.oceans.african-and-asian-route-building","lesson.ottomans.imperial-crossroads","None","Framing review","Planned"
"93","lesson.ottomans.imperial-crossroads","The Ottoman Imperial Crossroads","1453","1700","1453–c. 1700 CE","07","A multi-religious empire spanning Mediterranean, Balkan, and West Asian routes.","Explains a durable state connecting the medieval and early modern worlds.","lesson.ottomans.frontier-to-empire","lesson.printing.print-revolution","lesson.atlantic.columbus-and-sustained-contact","None","Source brief required","Planned"
"94","lesson.atlantic.columbus-and-sustained-contact","Columbus’s Voyages and Sustained Atlantic Contact","1492","1504","1492–1504 CE","07","Voyages, Indigenous encounters, imperial claims, and the beginning of sustained Atlantic contact, invasion, colonization, and exchange.","Marks the start of enduring transatlantic systems after earlier Norse crossings, while centering pre-existing societies and Indigenous sources.","lesson.mesoamerica.tenochtitlan-and-tribute","lesson.ottomans.imperial-crossroads","lesson.columbian-exchange.people-plants-pathogens","None","Framing review","Planned"
"95","lesson.columbian-exchange.people-plants-pathogens","The Columbian Exchange","1492","1700","c. 1492–1700 CE","07","Plants, animals, pathogens, people, environments, and unequal demographic consequences.","Has extraordinary explanatory power for diets, populations, empires, and ecology worldwide.","lesson.atlantic.columbus-and-sustained-contact","lesson.atlantic.columbus-and-sustained-contact","lesson.atlantic.slavery-system","None","Source set identified","Planned"
"96","lesson.atlantic.slavery-system","The Atlantic Slave Trade Becomes a System","1500","1750","c. 1500–1750 CE","07","Global precedents for slavery and captive labor; African political contexts; European demand; forced transport; plantation production; racialization; and resistance.","Places Atlantic slavery within a worldwide history of enslavement while explaining this system's distinctive oceanic scale, racial ideology, and commodity economy.","lesson.columbian-exchange.people-plants-pathogens","lesson.columbian-exchange.people-plants-pathogens","lesson.science.observation-and-cosmos","None","Source set identified","Planned"
"97","lesson.science.observation-and-cosmos","A New Cosmos from Observation and Calculation","1500","1650","c. 1500–1650 CE","07","Astronomy, instruments, print, Indigenous and Islamic knowledge inheritances, and contested authority.","Explains changing methods of knowledge rather than a parade of European geniuses.","lesson.printing.print-revolution","lesson.atlantic.slavery-system","lesson.iran.safavid-state","galileo","Framing review","Planned"
"98","lesson.iran.safavid-state","Safavid Iran and a Shi'a State","1501","1722","1501–1722 CE","07","Dynastic consolidation, Shi'a institutions, trade, art, and Ottoman rivalry.","Explains a durable political-religious transformation in West Asia.","lesson.ottomans.imperial-crossroads","lesson.science.observation-and-cosmos","lesson.christianity.reformations","None","Source brief required","Planned"
"99","lesson.christianity.reformations","Christian Reformations and Religious Conflict","1517","1648","1517–1648 CE","07","Print, church criticism, Protestant movements, Catholic reform, state power, and war.","Connects religious change to information and political institutions.","lesson.printing.print-revolution","lesson.iran.safavid-state","lesson.americas.conquest-mexico","luther|thirty_years","Source brief required","Planned"
"100","lesson.americas.conquest-mexico","Allies, Disease, and the Conquest of Mexico","1519","1521","1519–1521 CE","07","Spanish forces, Indigenous allies and enemies, epidemic disease, siege, and colonial narratives.","Replaces a few-hundred-conquerors myth with multi-causal evidence.","lesson.atlantic.columbus-and-sustained-contact","lesson.christianity.reformations","lesson.americas.conquest-andes","None","Framing review","Planned"
"101","lesson.americas.conquest-andes","Civil War, Disease, and the Conquest of the Inca Empire","1525","1572","c. 1525–1572 CE","07","Epidemics, Inca civil war, Spanish invasion, Indigenous alliances, and continuing resistance.","Provides a distinct Andean causal case rather than duplicating Mexico.","lesson.andes.inca-road-empire","lesson.americas.conquest-mexico","lesson.india.mughal-empire","None","Framing review","Planned"
"102","lesson.india.mughal-empire","The Mughal Empire and Akbar's Court","1526","1707","1526–1707 CE","07","Conquest, taxation, regional intermediaries, religious policy, art, and imperial limits.","Provides essential context for South Asian political economy and later colonial expansion.","lesson.india.delhi-sultanate","lesson.americas.conquest-andes","lesson.global.silver-and-manila-galleons","None","Source brief required","Planned"
"103","lesson.global.silver-and-manila-galleons","Silver, Manila, and the First Global Trade Circuit","1565","1815","1565–1815 CE","07","American silver, Manila galleons, Chinese demand, and connected Atlantic-Pacific markets.","Makes early globalization concrete through one commodity and a documented route.","lesson.columbian-exchange.people-plants-pathogens","lesson.india.mughal-empire","lesson.japan.tokugawa-order","None","Source set identified","Planned"
"104","lesson.japan.tokugawa-order","Tokugawa Order and Controlled Connections","1600","1868","1600–1868 CE","07","Political consolidation, urban growth, status orders, commerce, and regulated foreign contact.","Replaces the false image of a completely isolated Japan with a durable state system.","lesson.japan.warrior-rule","lesson.global.silver-and-manila-galleons","lesson.russia.land-empire","None","Framing review","Planned"
"105","lesson.russia.land-empire","Russia Becomes a Eurasian Land Empire","1550","1800","c. 1550–1800 CE","08","Expansion across Siberia, state service, fur, frontier violence, and diverse subjects.","Adds a major route of imperial expansion distinct from oceanic empires.","lesson.mongols.conquest-and-exchange","lesson.japan.tokugawa-order","lesson.science.experimental-networks","None","Source brief required","Planned"
"106","lesson.science.experimental-networks","Experimental Science and Knowledge Networks","1600","1750","c. 1600–1750 CE","08","Experiment, measurement, societies, correspondence, instruments, and imperial collecting.","Explains how institutions and networks stabilized new claims about nature.","lesson.science.observation-and-cosmos","lesson.russia.land-empire","lesson.states.taxation-war-and-constitutions","newton","Framing review","Planned"
"107","lesson.states.taxation-war-and-constitutions","Taxation, War, and Constitutional States","1600","1750","c. 1600–1750 CE","08","Fiscal-military states, representative claims, civil conflict, and limits on rulers.","Creates a causal prerequisite for Enlightenment argument and Atlantic revolutions.","lesson.christianity.reformations","lesson.science.experimental-networks","lesson.west-africa.states-and-atlantic-trade","None","Source brief required","Planned"
"108","lesson.west-africa.states-and-atlantic-trade","West African States in an Atlantic Age","1600","1800","c. 1600–1800 CE","08","State competition, commerce, enslavement, resistance, and differing regional choices.","Preserves African political agency while tracing entanglement with the slave trade.","lesson.atlantic.slavery-system","lesson.states.taxation-war-and-constitutions","lesson.china.qing-expansion","None","Source brief required","Planned"
"109","lesson.china.qing-expansion","Qing Expansion and a Multiethnic Empire","1644","1800","1644–c. 1800 CE","08","Manchu conquest, frontier expansion, administration, commerce, and cultural negotiation.","Provides prerequisite context for nineteenth-century crises in China and Inner Asia.","lesson.china.ming-reconstruction-and-voyages","lesson.west-africa.states-and-atlantic-trade","lesson.atlantic.plantations-and-middle-passage","None","Source brief required","Planned"
"110","lesson.atlantic.plantations-and-middle-passage","Plantations, the Middle Passage, and Resistance","1650","1800","c. 1650–1800 CE","08","Plantation economies, shipboard captivity, racial slavery, African diaspora, family and cultural survival, everyday resistance, and revolt.","Makes the Atlantic system's operation and human consequences visible without treating its victims as passive or repeating the system-formation node.","lesson.atlantic.slavery-system","lesson.china.qing-expansion","lesson.enlightenment.reason-rights-and-limits","middle_passage","Source set identified","Planned"
"111","lesson.enlightenment.reason-rights-and-limits","Enlightenment Arguments: Reason, Rights, and Limits","1680","1789","c. 1680–1789 CE","08","Public debate, natural rights, political economy, empire, slavery, and exclusions.","Supplies key ideas while exposing contradictions that later revolutionaries contested.","lesson.science.experimental-networks","lesson.atlantic.plantations-and-middle-passage","lesson.global.seven-years-war","encyclopedie","Framing review","Planned"
"112","lesson.global.seven-years-war","The Seven Years' War: A Global Imperial Conflict","1754","1763","1754–1763 CE","08","War across North America, Europe, the Caribbean, West Africa, and South Asia.","Provides high causal leverage for taxation, colonial rule, and multiple later revolutions.","lesson.states.taxation-war-and-constitutions","lesson.enlightenment.reason-rights-and-limits","lesson.america.revolution-and-constitution","seven_years","Source brief required","Planned"
"113","lesson.america.revolution-and-constitution","The American Revolution and a Contested Constitution","1765","1789","1765–1789 CE","08","Independence, republican institutions, slavery, Indigenous sovereignty, and constitutional compromise.","Shows influential political change together with its exclusions and unresolved conflicts.","lesson.global.seven-years-war","lesson.global.seven-years-war","lesson.pacific.encounters-and-settler-claims","boston_tea|constitution|declaration|yorktown","Framing review","Planned"
"114","lesson.pacific.encounters-and-settler-claims","Pacific Encounters and Settler Claims","1768","1800","c. 1768–1800 CE","08","Pacific navigation, Indigenous diplomacy, scientific voyages, and British settler colonization.","Connects exploration, knowledge, and dispossession without a discoverer-centered frame.","lesson.pacific.polynesian-voyaging","lesson.america.revolution-and-constitution","lesson.india.company-rule-and-rebellion","cook|first_fleet","Framing review","Planned"
"115","lesson.india.company-rule-and-rebellion","Company Rule and Rebellion in India","1757","1858","1757–1858 CE","09","Company revenue systems, territorial conquest, social disruption, the 1857 rebellion, and Crown rule.","Explains how a corporation became an empire and why rule changed.","lesson.global.seven-years-war","lesson.pacific.encounters-and-settler-claims","lesson.industry.coal-steam-and-factories","None","Source brief required","Planned"
"116","lesson.industry.coal-steam-and-factories","Coal, Steam, and Factories","1760","1840","c. 1760–1840 CE","09","Coal, steam power, textile mechanization, factories, transport, and Britain's enabling conditions.","Introduces industrialization as a system of energy, capital, labor, and empire.","lesson.global.silver-and-manila-galleons","lesson.india.company-rule-and-rebellion","lesson.abolition.emancipation-and-afterlives","None","Source set identified","Planned"
"117","lesson.abolition.emancipation-and-afterlives","Abolition, Emancipation, and Their Afterlives","1780","1888","c. 1780–1888 CE","09","Quaker and evangelical Protestant organizing; Black abolitionists and testimony; enslaved resistance and revolution; allied religious and natural-rights arguments; legislation, war, diplomacy, enforcement, compensation, and coercive afterlives.","Explains how a historically widespread institution became legally and morally delegitimized through a distinctive Atlantic abolitionist coalition, while showing that emancipation required resistance and state power and remained globally uneven.","lesson.atlantic.slavery-system|lesson.enlightenment.reason-rights-and-limits","lesson.industry.coal-steam-and-factories","lesson.settler-empires.land-and-dispossession","None","Source set identified","Planned"
"118","lesson.settler-empires.land-and-dispossession","Settler Empires: Land and Dispossession","1780","1900","c. 1780–1900 CE","09","Settler expansion, treaties, removal, ecological change, and Indigenous resistance in multiple regions.","Explains a globally consequential form of empire without treating occupation as empty-land settlement.","lesson.pacific.encounters-and-settler-claims","lesson.abolition.emancipation-and-afterlives","lesson.france.revolution","None","Framing review","Planned"
"119","lesson.france.revolution","The French Revolution","1789","1799","1789–1799 CE","09","Fiscal crisis, popular politics, rights declarations, republic, terror, and social change.","A foundational political rupture whose contradictions shaped later citizenship and nationalism.","lesson.enlightenment.reason-rights-and-limits","lesson.settler-empires.land-and-dispossession","lesson.haiti.revolution-and-emancipation","french_rev","Source brief required","Planned"
"120","lesson.haiti.revolution-and-emancipation","The Haitian Revolution and Emancipation","1791","1804","1791–1804 CE","09","Enslaved revolution, emancipation, independence, and Atlantic imperial response.","Uniquely joins antislavery, anticolonial, and revolutionary causality with global consequence.","lesson.atlantic.plantations-and-middle-passage","lesson.france.revolution","lesson.health.vaccination-and-public-health","None","Source brief required","Planned"
"121","lesson.health.vaccination-and-public-health","Vaccination and Public Health","1796","1900","c. 1796–1900 CE","09","Vaccination, urban sanitation, germ theory's preconditions, state power, and public trust.","Shows how evidence, institutions, and collective action changed survival.","lesson.science.experimental-networks","lesson.haiti.revolution-and-emancipation","lesson.napoleon.war-law-and-empire","None","Source brief required","Planned"
"122","lesson.napoleon.war-law-and-empire","Napoleon: War, Law, and Empire","1799","1815","1799–1815 CE","09","Napoleonic warfare, legal change, administration, nationalism, and imperial exploitation.","Explains how revolutionary reforms and conquest spread together.","lesson.france.revolution","lesson.health.vaccination-and-public-health","lesson.industry.factory-labor-and-capital","None","Source brief required","Planned"
"123","lesson.industry.factory-labor-and-capital","Factory Labor and Industrial Capital","1800","1870","c. 1800–1870 CE","09","Wage labor, factory discipline, urban growth, child labor, capital, and worker organization.","Explains lived consequences and new class politics rather than technology alone.","lesson.industry.coal-steam-and-factories","lesson.napoleon.war-law-and-empire","lesson.latin-america.independence","None","Source set identified","Planned"
"124","lesson.latin-america.independence","Independence and New States in Latin America","1808","1830","c. 1808–1830 CE","09","Imperial crisis, warfare, slavery, citizenship, Indigenous communities, and fragile new states.","Explains a continental political transformation and its incomplete social revolutions.","lesson.napoleon.war-law-and-empire","lesson.industry.factory-labor-and-capital","lesson.nationalism.1848-and-new-politics","bolivar","Source brief required","Planned"
"125","lesson.nationalism.1848-and-new-politics","1848 and New National Politics","1815","1871","1815–1871 CE","09","Liberalism, nationalism, conservatism, socialism, and the revolutions of 1848.","Creates a concept bridge from revolutionary politics to nation-states and mass movements.","lesson.napoleon.war-law-and-empire","lesson.latin-america.independence","lesson.china.opium-war-and-treaty-system","None","Framing review","Planned"
"126","lesson.china.opium-war-and-treaty-system","The Opium War and the Treaty System","1839","1860","1839–1860 CE","09","Opium commerce, British force, Qing defeat, treaties, and port expansion.","Provides a sharp case of industrial power, trade coercion, and sovereignty loss.","lesson.china.qing-expansion","lesson.nationalism.1848-and-new-politics","lesson.china.taiping-and-qing-crisis","None","Source brief required","Planned"
"127","lesson.china.taiping-and-qing-crisis","The Taiping War and the Qing Crisis","1850","1864","1850–1864 CE","09","Civil war, religious vision, local armies, mass death, and Qing survival.","Explains the scale of China's nineteenth-century crisis beyond foreign intervention alone.","lesson.china.opium-war-and-treaty-system","lesson.china.opium-war-and-treaty-system","lesson.japan.meiji-transformation","None","Source brief required","Planned"
"128","lesson.japan.meiji-transformation","The Meiji Transformation","1853","1912","1853–1912 CE","09","Forced opening, Restoration, state reform, industrialization, conscription, and imperial ambition.","Explains rapid institutional change and its link to later Japanese empire.","lesson.japan.tokugawa-order","lesson.china.taiping-and-qing-crisis","lesson.united-states.civil-war-and-emancipation","None","Source brief required","Planned"
"129","lesson.united-states.civil-war-and-emancipation","Civil War, Emancipation, and Reconstruction","1861","1877","1861–1877 CE","09","Slavery, secession, total war, emancipation, Reconstruction, and contested citizenship.","A consequential state-and-slavery crisis whose aftermath shaped later rights struggles.","lesson.abolition.emancipation-and-afterlives","lesson.japan.meiji-transformation","lesson.environment.fossil-energy-and-planetary-change","None","Source brief required","Planned"
"130","lesson.environment.fossil-energy-and-planetary-change","Fossil Energy and Planetary Change","1750","1914","c. 1750–1914 CE","10","Fossil-fuel growth, land-use change, extraction, and the beginnings of measurable climate influence.","Creates the long causal prerequisite for the modern climate crisis.","lesson.industry.coal-steam-and-factories","lesson.united-states.civil-war-and-emancipation","lesson.rights.womens-movements","None","Source set identified","Planned"
"131","lesson.rights.womens-movements","Women's Movements and Political Rights","1792","1920","c. 1792–1920 CE","10","Education, property, suffrage, labor activism, and globally varied women's movements.","Adds a causal rights history with durable connections to mass politics.","lesson.enlightenment.reason-rights-and-limits","lesson.environment.fossil-energy-and-planetary-change","lesson.networks.rail-telegraph-and-canals","seneca_falls|suffrage","Source brief required","Planned"
"132","lesson.networks.rail-telegraph-and-canals","Railways, Telegraphs, and Canals","1840","1914","c. 1840–1914 CE","10","Railways, telegraphy, steamships, Suez, time standards, and unequal connectivity.","Shows how distance shrank for commerce, empire, migration, and war.","lesson.industry.coal-steam-and-factories","lesson.rights.womens-movements","lesson.society.urbanization-and-mass-migration","None","Source brief required","Planned"
"133","lesson.society.urbanization-and-mass-migration","Urbanization and Mass Migration","1840","1914","c. 1840–1914 CE","10","Rapid cities, overseas migration, diasporas, remittances, exclusion laws, and changing families.","Explains how industrial and imperial systems moved people and remade everyday life.","lesson.networks.rail-telegraph-and-canals","lesson.networks.rail-telegraph-and-canals","lesson.science.evolution-germs-and-modern-medicine","None","Source brief required","Planned"
"134","lesson.science.evolution-germs-and-modern-medicine","Evolution, Germs, and Modern Medicine","1850","1914","c. 1850–1914 CE","10","Evolution, germ theory, laboratories, public health, medicine, and misuse of science.","Connects evidence-driven advances to social consequences and ideological distortion.","lesson.health.vaccination-and-public-health","lesson.society.urbanization-and-mass-migration","lesson.politics.labor-socialism-and-mass-parties","None","Framing review","Planned"
"135","lesson.politics.labor-socialism-and-mass-parties","Labor, Socialism, and Mass Parties","1860","1914","c. 1860–1914 CE","10","Unions, socialism, anarchism, mass parties, strikes, and social reform.","Explains organized responses to industrial inequality and expanding political participation.","lesson.industry.factory-labor-and-capital","lesson.science.evolution-germs-and-modern-medicine","lesson.industry.steel-electricity-and-corporations","None","Source brief required","Planned"
"136","lesson.industry.steel-electricity-and-corporations","Steel, Electricity, and Corporate Industry","1870","1914","c. 1870–1914 CE","10","Steel, electricity, chemicals, oil, mass production, corporations, and research systems.","Explains the new scale of productive and destructive capacity before the world wars.","lesson.industry.coal-steam-and-factories","lesson.politics.labor-socialism-and-mass-parties","lesson.imperialism.high-imperial-rule","None","Source brief required","Planned"
"137","lesson.imperialism.high-imperial-rule","High Imperialism and Colonial Rule","1870","1914","c. 1870–1914 CE","10","Industrial power, racial ideology, conquest, extraction, administration, and rival empires.","Provides essential causes for global inequality, resistance, and the First World War.","lesson.industry.steel-electricity-and-corporations","lesson.industry.steel-electricity-and-corporations","lesson.imperialism.african-resistance-and-state-change","None","Framing review","Planned"
"138","lesson.imperialism.african-resistance-and-state-change","African Resistance and State Change","1870","1914","c. 1870–1914 CE","10","African diplomacy, military resistance, accommodation, state rebuilding, and colonial violence.","Prevents imperial expansion from becoming a one-sided European action story.","lesson.imperialism.high-imperial-rule","lesson.imperialism.high-imperial-rule","lesson.latin-america.export-economies-and-revolution","None","Source brief required","Planned"
"139","lesson.latin-america.export-economies-and-revolution","Latin American Export Economies and Revolution","1870","1917","c. 1870–1917 CE","10","Commodity exports, foreign capital, oligarchic states, inequality, and the Mexican Revolution.","Connects Latin America to the global economy and new mass politics.","lesson.networks.rail-telegraph-and-canals","lesson.imperialism.african-resistance-and-state-change","lesson.asia.empire-and-resistance","None","Source brief required","Planned"
"140","lesson.asia.empire-and-resistance","Asian Empires, Reform, and Resistance","1880","1914","c. 1880–1914 CE","10","Imperial competition, reform, anticolonial organization, and resistance in China, India, and Southeast Asia.","Creates the prerequisite for Asian nationalism and decolonization.","lesson.imperialism.high-imperial-rule","lesson.latin-america.export-economies-and-revolution","lesson.japan.imperial-power","None","Source brief required","Planned"
"141","lesson.japan.imperial-power","Japan Becomes an Imperial Power","1894","1910","1894–1910 CE","10","Wars with China and Russia, annexation of Korea, industrial power, and colonial rule.","Explains Japan's shift from threatened state to imperial power before 1931.","lesson.japan.meiji-transformation","lesson.asia.empire-and-resistance","lesson.china.reform-republic-and-new-culture","None","Source brief required","Planned"
"142","lesson.china.reform-republic-and-new-culture","Reform, Republic, and New Culture in China","1895","1919","1895–1919 CE","10","Reformers, revolutionaries, the end of imperial rule, the new republic, and arguments over Confucian inheritance, science, democracy, nationalism, and socialism.","Provides the missing intellectual and institutional bridge between Qing crisis and the competing revolutionary projects that shaped modern China.","lesson.china.qing-expansion|lesson.china.opium-war-and-treaty-system|lesson.china.song-neo-confucian-renewal","lesson.japan.imperial-power","lesson.world-war-one.causes-and-crisis","None","Source brief required","Planned"
"143","lesson.world-war-one.causes-and-crisis","Why the First World War Began","1871","1914","c. 1871–1914 CE","11","Alliance systems, imperial rivalry, nationalism, arms competition, Balkan crises, and Sarajevo.","Explains why assassination triggered war without making it the sole cause.","lesson.imperialism.high-imperial-rule","lesson.china.reform-republic-and-new-culture","lesson.world-war-one.global-industrial-war","None","Source set identified","Planned"
"144","lesson.world-war-one.global-industrial-war","The First World War as Global Industrial War","1914","1918","1914–1918 CE","11","Multiple fronts, empires, colonies, civilians, industrial weapons, mobilization, and stalemate.","Shows why the First World War was global and how industrial systems magnified destruction.","lesson.world-war-one.causes-and-crisis","lesson.world-war-one.causes-and-crisis","lesson.ottoman.genocide-and-collapse","None","Source set identified","Planned"
"145","lesson.ottoman.genocide-and-collapse","Armenian Genocide and Ottoman Collapse","1915","1923","1915–1923 CE","11","Armenian genocide, wartime deportation and killing, imperial collapse, and new borders.","Includes consequential mass violence and the regional transformation it accompanied.","lesson.world-war-one.global-industrial-war","lesson.world-war-one.global-industrial-war","lesson.russia.revolution-and-soviet-state","None","Source brief required","Planned"
